AGCHM_ENG_NM,LIVESTCK_PISN_RATG_ENG,ECOLGY_PISN_RATG_ENG,livestock_level,ecology_level,SMILES,REFINE_WGS84_LAT,REFINE_WGS84_LOGT,is_valid,PURPOS_NM,DEASEINS_DTLS,CROPS_DTLS
Pyraclostrobin,Low Toxicity (IV),Rank I,0.01,1.0,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,37.6668404232,127.1178163784,True,살균제,탄저병,사과
Oxolinic acid,Low Toxicity (IV),Rank III,0.01,0.0625,CCN1C=C(C(=O)C2=CC3=C(C=C21)OCO3)C(=O)O,37.6668404232,127.1178163784,True,살균제,무름병,당근
Spirodiclofen,Low Toxicity (IV),Rank III,0.01,0.0625,CCC(C)(C)C(=O)OC1=C(C(=O)OC12CCCCC2)C3=C(C=C(C=C3)Cl)Cl,37.4339530685,127.1701632418,True,살충제,차먼지응애,고추(단고추류포함)
Mefentrifluconazole+Pyraclostrobin,Low Toxicity (IV),Rank III,0.01,0.0625,CC(CN1C=NC=N1)(C2=C(C=C(C=C2)OC3=CC=C(C=C3)Cl)C(F)(F)F)O.COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,37.3834691837,127.1226706167,True,살균제,탄저병,사과
Mefentrifluconazole,Low Toxicity (IV),Rank III,0.01,0.0625,CC(CN1C=NC=N1)(C2=C(C=C(C=C2)OC3=CC=C(C=C3)Cl)C(F)(F)F)O,37.3834691837,127.1226706167,True,살균제,붉은별무늬병,배
Metam-sodium,Avg Toxicity (III),Rank I,0.1,1.0,CNC(=S)[S-].[Na+],37.2563658009,127.1651202242,True,살충제,솔수염하늘소,소나무
Chlorfenapyr,Low Toxicity (IV),Rank I,0.01,1.0,CCOCN1C(=C(C(=C1C(F)(F)F)Br)C#N)C2=CC=C(C=C2)Cl,37.4339530685,127.1701632418,True,살충제,볼록총채벌레,블루베리
Difenoconazole,Low Toxicity (IV),Rank II,0.01,0.25,CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,37.6668404232,127.1178163784,True,살균제,점무늬병,취나물
Acetamiprid,Avg Toxicity (III),Rank III,0.1,0.0625,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,37.6668404232,127.1178163784,True,살충제,버즘나무방패벌레,양버즘나무(프라타나스)
Azoxystrobin,Low Toxicity (IV),Rank II,0.01,0.25,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC,37.6668404232,127.1178163784,True,살균제,노균병,시금치
Fenquinotrione+Triafamone,Low Toxicity (IV),Rank III,0.01,0.0625,COC1=CC=C(C=C1)N2C3=C(C(=CC=C3)Cl)N=C(C2=O)C(=O)C4C(=O)CCCC4=O.CN(C1=C(C=CC=C1F)C(=O)C2=NC(=NC(=N2)OC)OC)S(=O)(=O)C(F)F,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피, 물달개비, 밭뚝외풀, 알방동사니, 여뀌바늘, 자귀풀) 및 다년생잡초(올방개,올챙이고랭이,벗풀)",기계이앙벼(어린모)
Pyraclonil+Pyrazosulfuron-ethyl+Tefuryltrione,Low Toxicity (IV),Rank III,0.01,0.0625,CN(CC#C)C1=C(C=NN1C2=NN3CCCCC3=C2Cl)C#N.CCOC(=O)C1=C(N(N=C1)C)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC.CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC3CCCO3,37.303252115,126.7681510928,True,제초제,"일년생잡초(피,물달개비,가막사리,자귀풀,밭뚝외풀,사마귀풀,여뀌바늘) 다년생잡초(올챙이고랭이,올방개,벗풀)",기계이앙벼(어린모)
Benalaxyl-M+Imidacloprid,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)CC2=CC=CC=C2.C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,37.3834691837,127.1226706167,True,살균.살충제,역병,고추(단고추류포함)
Propanil+Pyriminobac-methyl,Avg Toxicity (III),Rank III,0.1,0.0625,CCC(=O)NC1=CC(=C(C=C1)Cl)Cl.CC(=NOC)C1=C(C(=CC=C1)OC2=NC(=CC(=N2)OC)OC)C(=O)OC,37.3038691408,126.7673552476,True,제초제,난방제잡초(피)(후기),기계이앙벼(어린모)
Lambda-cyhalothrin,Avg Toxicity (III),Rank I,0.1,1.0,CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(C(F)(F)F)Cl)C,37.4339530685,127.1701632418,True,살충제,복숭아순나방,석류
Fludioxonil+Penthiopyrad,Low Toxicity (IV),Rank II,0.01,0.25,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N.CC(C)CC(C)C1=C(C=CS1)NC(=O)C2=CN(N=C2C(F)(F)F)C,37.303252115,126.7681510928,True,살균제,잿빛곰팡이병,고추(단고추류포함)
Flufenoxuron+Fluxametamide,Low Toxicity (IV),Rank II,0.01,0.25,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=C(C=C(C=C2)OC3=C(C=C(C=C3)C(F)(F)F)Cl)F)F.CC1=C(C=CC(=C1)C2=NOC(C2)(C3=CC(=CC(=C3)Cl)Cl)C(F)(F)F)C(=O)NC=NOC,37.303252115,126.7681510928,True,살충제,복숭아심식나방,복숭아
Etofenprox,Low Toxicity (IV),Rank III,0.01,0.0625,CCOC1=CC=C(C=C1)C(C)(C)COCC2=CC(=CC=C2)OC3=CC=CC=C3,37.4005799752,127.1068799859,True,살충제,썩덩나무노린재,오렌지
Trifloxystrobin,Low Toxicity (IV),Rank I,0.01,1.0,CC(=NOCC1=CC=CC=C1C(=NOC)C(=O)OC)C2=CC(=CC=C2)C(F)(F)F,37.4339530685,127.1701632418,True,살균제,잎마름병,마늘
Indoxacarb,Low Toxicity (IV),Rank II,0.01,0.25,COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,37.303252115,126.7681510928,True,살충제,파밤나방,땅콩
Kresoxim-methyl,Low Toxicity (IV),Rank I,0.01,1.0,CC1=CC=CC=C1OCC2=CC=CC=C2C(=NOC)C(=O)OC,37.3834691837,127.1226706167,True,살균제,잿빛무늬병,매실
Bifenthrin,Low Toxicity (IV),Rank I,0.01,1.0,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl,37.3834691837,127.1226706167,True,살충제,애모무늬잎말이나방,감(단감포함)
Abamectin+Emamectin benzoate,Avg Toxicity (III),Rank I,0.1,1.0,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O.CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O,37.4005799752,127.1068799859,True,살충제,꽃노랑총채벌레,고추(단고추류포함)
Metalaxyl+Tebuconazole,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC.CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,37.4005799752,127.1068799859,True,살균제,역병,고추(단고추류포함)
Abamectin,Avg Toxicity (III),Rank I,0.1,1.0,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O,37.2563658009,127.1651202242,True,살충제,아메리카잎굴파리,가지
Acetamiprid+Flonicamid,Low Toxicity (IV),Rank III,0.01,0.0625,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl.C1=CN=CC(=C1C(F)(F)F)C(=O)NCC#N,37.3038691408,126.7673552476,True,살충제,사과면충,사과
Flusulfamide+Probenazole,Low Toxicity (IV),Rank II,0.01,0.25,C1=CC(=C(C=C1[N+](=O)[O-])Cl)NS(=O)(=O)C2=CC(=C(C=C2)Cl)C(F)(F)F.C=CCOC1=NS(=O)(=O)C2=CC=CC=C21,37.3834691837,127.1226706167,True,살균제,무름병,배추
Tolpyralate,Avg Toxicity (III),Rank III,0.1,0.0625,CCN1C(=C(C=N1)C(=O)C2=C(C(=C(C=C2)S(=O)(=O)C)OCCOC)C)OC(C)OC(=O)OC,37.3834691837,127.1226706167,True,제초제,일년생잡초,옥수수
Azoxystrobin+Hexaconazole,Low Toxicity (IV),Rank II,0.01,0.25,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC.CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O,37.3834691837,127.1226706167,True,살균제,목도열병,벼
Flazasulfuron,Low Toxicity (IV),Rank III,0.01,0.0625,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)C2=C(C=CC=N2)C(F)(F)F)OC,37.4120754227,127.2548977876,True,제초제,일년생잡초,한국잔디
Lufenuron,Low Toxicity (IV),Rank I,0.01,1.0,C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C=C2Cl)OC(C(C(F)(F)F)F)(F)F)Cl)F,37.4339530685,127.1701632418,True,살충제,꽃노랑총채벌레,감귤
Imidacloprid,Low Toxicity (IV),Rank III,0.01,0.0625,C1CN(C(=N[N+](=O)[O-])N1)CC2=CN=C(C=C2)Cl,37.4005799752,127.1068799859,True,살충제,"진딧물(복숭아혹진딧물,목화진딧물)",고추
Acetamiprid+Pymetrozine,Low Toxicity (IV),Rank III,0.01,0.0625,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl.CC1=NNC(=O)N(C1)N=CC2=CN=CC=C2,37.2736954342,126.9533508895,True,살충제,사과혹진딧물,사과
Acetamiprid+Buprofezin,Low Toxicity (IV),Rank III,0.01,0.0625,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl.CC(C)N1C(=NC(C)(C)C)SCN(C1=O)C2=CC=CC=C2,37.4005799752,127.1068799859,True,살충제,솔껍질깍지벌레,곰솔
Hexaconazole,Low Toxicity (IV),Rank III,0.01,0.0625,CCCCC(CN1C=NC=N1)(C2=C(C=C(C=C2)Cl)Cl)O,37.4005799752,127.1068799859,True,살균제,잎집무늬마름병,수수
Metolachlor,Low Toxicity (IV),Rank III,0.01,0.0625,CCC1=CC=CC(=C1N(C(C)COC)C(=O)CCl)C,37.4005799752,127.1068799859,True,제초제,일년생잡초,마늘
Dimethoate,Low Toxicity (IV),Rank III,0.01,0.0625,CNC(=O)CSP(=S)(OC)OC,37.4005799752,127.1068799859,True,살충제,뿌리응애,마늘
Benzobicyclon+Florpyrauxifen-benzyl+Flucetosulfuron,Low Toxicity (IV),Rank III,0.01,0.0625,CS(=O)(=O)C1=CC(=C(C=C1)C(=O)C2=C(C3CCC(C3)C2=O)SC4=CC=CC=C4)Cl.COC1=C(C=CC(=C1F)C2=NC(=C(C(=C2F)N)Cl)C(=O)OCC3=CC=CC=C3)Cl.CC(C(C1=C(C=CC=N1)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC)OC(=O)COC)F,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피,물달개비,발뚝외풀,여뀌,여뀌바늘,자귀풀) 및 다년생잡초(올방개,올챙이고랭이,벗풀)",기계이앙벼(어린모)
Pymetrozine,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=NNC(=O)N(C1)N=CC2=CN=CC=C2,37.4339530685,127.1701632418,True,살충제,복숭아혹진딧물,고추(단고추류포함)
Bifenthrin+Chlorantraniliprole,Avg Toxicity (III),Rank I,0.1,1.0,CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl.CC1=CC(=CC(=C1NC(=O)C2=CC(=NN2C3=C(C=CC=N3)Cl)Br)C(=O)NC)Cl,37.3834691837,127.1226706167,True,살충제,복숭아유리나방,복숭아
Abamectin+Bifenthrin,Avg Toxicity (III),Rank I,0.1,1.0,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)O)OC)OC)C)C.CC1C=CC=C2COC3C2(C(C=C(C3O)C)C(=O)OC4CC(CC=C(C1OC5CC(C(C(O5)C)OC6CC(C(C(O6)C)O)OC)OC)C)OC7(C4)C=CC(C(O7)C(C)C)C)O.CC1=C(C=CC=C1C2=CC=CC=C2)COC(=O)C3C(C3(C)C)C=C(C(F)(F)F)Cl,37.3834691837,127.1226706167,True,살충제,점박이응애,배
Glyphosate-potassium+MCPA,Avg Toxicity (III),Rank III,0.1,0.0625,C(C(=O)O)NCP(=O)(O)[O-].[K+].CC1=C(C=CC(=C1)Cl)OCC(=O)O,37.6592444171,126.7673462009,True,제초제,일년생잡초 및 다년생잡초,비농경지
Bensulfuron-methyl+Oxaziclomefone+Tefuryltrione,Low Toxicity (IV),Rank III,0.01,0.0625,COC1=CC(=NC(=N1)NC(=O)NS(=O)(=O)CC2=CC=CC=C2C(=O)OC)OC.CC1=C(C(=O)N(CO1)C(C)(C)C2=CC(=CC(=C2)Cl)Cl)C3=CC=CC=C3.CS(=O)(=O)C1=C(C(=C(C=C1)C(=O)C2C(=O)CCCC2=O)Cl)COCC3CCCO3,37.3834691837,127.1226706167,True,제초제,"일년생잡초(피,물달개비,발뚝외풀,여뀌,여뀌바늘,자귀풀) 및 다년생잡초(올방개,올챙이고랭이,벗풀)",기계이앙벼(어린모)
Thifluzamide,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=NC(=C(S1)C(=O)NC2=C(C=C(C=C2Br)OC(F)(F)F)Br)C(F)(F)F,37.4406568155,127.1725190689,True,살균제,라이족토니아마름병,잔디
Prodiamine,Low Toxicity (IV),Rank III,0.01,0.0625,CCCN(CCC)C1=C(C=C(C(=C1[N+](=O)[O-])N)C(F)(F)F)[N+](=O)[O-],37.4406568155,127.1725190689,True,제초제,일년생잡초,잔디
Emamectin benzoate,Low Toxicity (IV),Rank III,0.01,0.0625,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O,37.3834691837,127.1226706167,True,살충제,담배거세미나방,쑥갓
Cyhalofop-butyl,Low Toxicity (IV),Rank II,0.01,0.25,CCCCOC(=O)C(C)OC1=CC=C(C=C1)OC2=C(C=C(C=C2)C#N)F,37.4005799752,127.1068799859,True,제초제,일년생잡초(피),담수직파벼(표면산파)
Boscalid+Pyraclostrobin,Low Toxicity (IV),Rank I,0.01,1.0,C1=CC=C(C(=C1)C2=CC=C(C=C2)Cl)NC(=O)C3=C(N=CC=C3)Cl.COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,37.4339530685,127.1701632418,True,살균제,흰가루병,딸기
polyether modified polysiloxane,Avg Toxicity (III),Rank III,0.1,0.0625,[SMILES_NOT_FOUND: polyether modified polysiloxane],37.3834691837,127.1226706167,False,기타,전착효과(탄저병),고추(단고추류포함)
Fludioxonil,Low Toxicity (IV),Rank II,0.01,0.25,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N,37.4339530685,127.1701632418,True,살균제,잿빛곰팡이병,딸기
Azoxystrobin+Dimethomorph,Low Toxicity (IV),Rank II,0.01,0.25,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC.COC1=C(C=C(C=C1)C(=CC(=O)N2CCOCC2)C3=CC=C(C=C3)Cl)OC,37.4339530685,127.1701632418,True,살균제,역병,감자
Thiacloprid,Avg Toxicity (III),Rank III,0.1,0.0625,C1CSC(=NC#N)N1CC2=CN=C(C=C2)Cl,37.4005799752,127.1068799859,True,살충제,조팝나무진딧물,금감(금귤)
Indoxacarb,Low Toxicity (IV),Rank III,0.01,0.0625,COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,37.4005799752,127.1068799859,True,살충제,열대거세미나방,옥수수
Chlorfenapyr,Avg Toxicity (III),Rank I,0.1,1.0,CCOCN1C(=C(C(=C1C(F)(F)F)Br)C#N)C2=CC=C(C=C2)Cl,37.2681405706,126.9870801562,True,살충제,도둑나방,들깨(잎)
Metalaxyl,Low Toxicity (IV),Rank III,0.01,0.0625,CC1=C(C(=CC=C1)C)N(C(C)C(=O)OC)C(=O)COC,37.2736954342,126.9533508895,True,살균제,모썩음병,담수직파벼
Fluazinam,Low Toxicity (IV),Rank I,0.01,1.0,C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F,37.2736954342,126.9533508895,True,살균제,귤응애,감귤
Fludioxonil,Low Toxicity (IV),Rank III,0.01,0.0625,C1=CC(=C2C(=C1)OC(O2)(F)F)C3=CNC=C3C#N,37.2736954342,126.9533508895,True,살균제,잿빛곰팡이병,부추
Pencycuron+Tebuconazole,Low Toxicity (IV),Rank III,0.01,0.0625,C1CCC(C1)N(CC2=CC=C(C=C2)Cl)C(=O)NC3=CC=CC=C3.CC(C)(C)C(CCC1=CC=C(C=C1)Cl)(CN2C=NC=N2)O,37.2736954342,126.9533508895,True,살균제,갈색잎마름병,잔디
Chlorpyrifos+Alpha-cypermethrin,Avg Toxicity (III),Rank I,0.1,1.0,CCOP(=S)(OCC)OC1=NC(=C(C=C1Cl)Cl)Cl.CC1(C(C1C(=O)OC(C#N)C2=CC(=CC=C2)OC3=CC=CC=C3)C=C(Cl)Cl)C,37.2736954342,126.9533508895,True,살충제,진딧물(복숭아혹진딧물),카네이션
Acetamiprid,Low Toxicity (IV),Rank III,0.01,0.0625,CC(=NC#N)N(C)CC1=CN=C(C=C1)Cl,37.2736954342,126.9533508895,True,살충제,조팝나무진딧물,감귤
Emamectin benzoate+Indoxacarb,Low Toxicity (IV),Rank II,0.01,0.25,CCC(C)C1C(C=CC2(O1)CC3CC(O2)CC=C(C(C(C=CC=C4COC5C4(C(C=C(C5O)C)C(=O)O3)O)C)OC6CC(C(C(O6)C)OC7CC(C(C(O7)C)NC)OC)OC)C)C.C1=CC=C(C=C1)C(=O)O.COC(=O)C12CC3=C(C1=NN(CO2)C(=O)N(C4=CC=C(C=C4)OC(F)(F)F)C(=O)OC)C=CC(=C3)Cl,37.2736954342,126.9533508895,True,살충제,꽃노랑총채벌레,고추(단고추류포함)
Dazomet,Low Toxicity (IV),Rank II,0.01,0.25,CN1CN(C(=S)SC1)C,37.4005799752,127.1068799859,True,살균제,흑색썩음균핵병,마늘
Fosthiazate,Low Toxicity (IV),Rank III,0.01,0.0625,CCC(C)SP(=O)(N1CCSC1=O)OCC,37.4339530685,127.1701632418,True,살충제,뿌리혹선충,가지
Azoxystrobin,Avg Toxicity (III),Rank II,0.1,0.25,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC,37.2681405706,126.9870801562,True,살균제,흰가루병,갯기름나물(식방풍)
Azoxystrobin+Difenoconazole,Avg Toxicity (III),Rank II,0.1,0.25,COC=C(C1=CC=CC=C1OC2=NC=NC(=C2)OC3=CC=CC=C3C#N)C(=O)OC.CC1COC(O1)(CN2C=NC=N2)C3=C(C=C(C=C3)OC4=CC=C(C=C4)Cl)Cl,37.4339530685,127.1701632418,True,살균제,흰가루병,딸기
Pyraclostrobin,Avg Toxicity (III),Rank I,0.1,1.0,COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,37.4339530685,127.1701632418,True,살균제,탄저병,고추(단고추류포함)
Dinotefuran,Low Toxicity (IV),Rank III,0.01,0.0625,CNC(=N[N+](=O)[O-])NCC1CCOC1,37.4339530685,127.1701632418,True,살충제,등얼룩풍뎅이,잔디
Fluazinam+Pyraclostrobin,Low Toxicity (IV),Rank I,0.01,1.0,C1=C(C=NC(=C1Cl)NC2=C(C=C(C(=C2[N+](=O)[O-])Cl)C(F)(F)F)[N+](=O)[O-])C(F)(F)F.COC(=O)N(C1=CC=CC=C1COC2=NN(C=C2)C3=CC=C(C=C3)Cl)OC,37.3834691837,127.1226706167,True,살균제,탄저병,고추(단고추류포함)
Pyroxasulfone,Low Toxicity (IV),Rank III,0.01,0.0625,CC1(CC(=NO1)S(=O)(=O)CC2=C(N(N=C2C(F)(F)F)C)OC(F)F)C,37.303252115,126.7681510928,True,제초제,일년생 화본과잡초,한국잔디
Flutriafol,Avg Toxicity (III),Rank III,0.1,0.0625,C1=CC=C(C(=C1)C(CN2C=NC=N2)(C3=CC=C(C=C3)F)O)F,37.3834691837,127.1226706167,True,살균제,갈색무늬병,포도
Flutriafol,Low Toxicity (IV),Rank III,0.01,0.0625,C1=CC=C(C(=C1)C(CN2C=NC=N2)(C3=CC=C(C=C3)F)O)F,37.303252115,126.7681510928,True,살균제,갈색잎마름병,잔디
Fenquinotrione+Pyrazosulfuron-ethyl+Pyriminobac-methyl,Low Toxicity (IV),Rank III,0.01,0.0625,COC1=CC=C(C=C1)N2C3=C(C(=CC=C3)Cl)N=C(C2=O)C(=O)C4C(=O)CCCC4=O.CCOC(=O)C1=C(N(N=C1)C)S(=O)(=O)NC(=O)NC2=NC(=CC(=N2)OC)OC.CC(=NOC)C1=C(C(=CC=C1)OC2=NC(=CC(=N2)OC)OC)C(=O)OC,37.303252115,126.7681510928,True,제초제,"일년생잡초(피,물달개비,여뀌바늘, 밭뚝외풀, 알방동사니) 및 다년생잡초(벗풀,올방개,올챙이고랭이)",담수직파벼(표면산파)
Captan+Trifloxystrobin,Low Toxicity (IV),Rank I,0.01,1.0,C1C=CCC2C1C(=O)N(C2=O)SC(Cl)(Cl)Cl.CC(=NOCC1=CC=CC=C1C(=NOC)C(=O)OC)C2=CC(=CC=C2)C(F)(F)F,37.3834691837,127.1226706167,True,살균제,탄저병,감(단감포함)
Clothianidin,Low Toxicity (IV),Rank III,0.01,0.0625,CNC(=N[N+](=O)[O-])NCC1=CN=C(S1)Cl,37.4339530685,127.1701632418,True,살충제,등얼룩풍뎅이,잔디
Glufosinate-ammonium,Avg Toxicity (III),Rank III,0.1,0.0625,CP(=O)(CCC(C(=O)[O-])N)O.[NH4+],37.5797519232,126.8679487476,True,제초제,일년생잡초,토마토밭
